p1_09;0:-2:SR,6:-3:GK,12:2:TT,14:2:SN;82685;2222:111;163041;597253;525312
p2_10;0:2:SR,2:-1:LK,4:15:VB,6:-3:GK;82685;2222:111;163041;597253;525312
p3_11;0:-2:SR,1:3:GZ,2:-1:LK,5:9:HY;82685;2222:111;163041;597253;525312
p4_12;1:3:GZ,3:-1:RS,4:-15:VB,6:3:GK;82685;2222:111;163041;597253;525312
p5_13;2:-1:LK,3:-1:RS,5:9:HY,6:3:GK;82685;2222:111;163041;597253;525312
p6_16;2:1:LK,3:1:RS,4:-15:VB,5:-9:HY;82685;2222:111;163041;597253;525312
p7_17;1:3:GZ,3:-1:RS,4:15:VB,5:-9:HY;82685;2222:111;163041;597253;525312
p8_18;5:-9:HY,6:-3:GK,12:2:TT,14:2:SN;82685;2222:111;163041;597253;525312
p9_19;1:3:GZ,2:1:LK,3:-1:RS,6:-3:GK;82685;2222:111;163041;597253;525312
p10_20;0:-2:SR,4:-15:VB,12:2:TT,14:2:SN;82685;2222:111;163041;597253;525312
p11_23;2:-1:LK,6:-3:GK,12:2:TT,14:2:SN;82685;2222:111;163041;597253;525312
p12_24;0:-2:SR,6:3:GK,12:2:TT,14:-2:SN;82685;2222:111;163041;597253;525312
p13_25;1:-3:GZ,2:1:LK,5:9:HY,12:-2:TT;82685;2222:111;163041;597253;525312
p14_26;0:-2:SR,3:1:RS,4:-15:VB,5:9:HY;82685;2222:111;163041;597253;525312
p15_27;2:-1:LK,3:1:RS,5:-9:HY,14:2:SN;82685;2222:111;163041;597253;525312
